Location,Year,Month,average_temp,Season
Adelaide,2008,July,11.091935483870968,Winter
Adelaide,2008,August,10.646774193548387,Winter
Adelaide,2008,September,14.981666666666667,Spring
Adelaide,2008,October,18.205172413793104,Spring
Adelaide,2008,November,19.48,Spring
Adelaide,2008,December,20.45,Summer
Adelaide,2009,January,24.967741935483872,Summer
Adelaide,2009,February,25.057142857142857,Summer
Adelaide,2009,March,20.68548387096774,Autumn
Adelaide,2009,April,17.908333333333335,Autumn
Adelaide,2009,May,14.324193548387097,Autumn
Adelaide,2009,June,12.540000000000001,Winter
Adelaide,2009,July,12.388709677419355,Winter
Adelaide,2009,August,13.832258064516129,Winter
Adelaide,2009,September,15.026666666666667,Spring
Adelaide,2009,October,16.70806451612903,Spring
Adelaide,2009,November,24.428333333333335,Spring
Adelaide,2009,December,22.20806451612903,Summer
Adelaide,2010,January,24.73709677419355,Summer
Adelaide,2010,February,25.20357142857143,Summer
Adelaide,2010,March,21.956451612903226,Autumn
Adelaide,2010,April,19.165,Autumn
Adelaide,2010,May,15.106451612903225,Autumn
Adelaide,2010,June,11.66,Winter
Adelaide,2010,July,11.125806451612902,Winter
Adelaide,2010,August,11.524193548387096,Winter
Adelaide,2010,September,13.071666666666667,Spring
Adelaide,2010,October,16.53548387096774,Spring
Adelaide,2010,November,19.22833333333333,Spring
Adelaide,2010,December,21.364516129032257,Summer
Adelaide,2011,January,24.467741935483872,Summer
Adelaide,2011,February,23.84642857142857,Summer
Adelaide,2011,March,19.911290322580644,Autumn
Adelaide,2011,April,15.929032258064517,Autumn
Adelaide,2011,May,13.970967741935484,Autumn
Adelaide,2011,June,12.521666666666667,Winter
Adelaide,2011,July,11.75,Winter
Adelaide,2011,August,13.620967741935484,Winter
Adelaide,2011,September,15.51,Spring
Adelaide,2011,October,17.570967741935483,Spring
Adelaide,2011,November,20.723333333333333,Spring
Adelaide,2011,December,22.129032258064516,Summer
Adelaide,2012,January,25.14677419354839,Summer
Adelaide,2012,February,22.686206896551724,Summer
Adelaide,2012,March,20.612903225806452,Autumn
Adelaide,2012,April,18.388333333333332,Autumn
Adelaide,2012,May,13.76774193548387,Autumn
Adelaide,2012,June,11.573333333333334,Winter
Adelaide,2012,July,11.57741935483871,Winter
Adelaide,2012,August,11.769354838709678,Winter
Adelaide,2012,September,14.823333333333334,Spring
Adelaide,2012,October,16.943548387096772,Spring
Adelaide,2012,November,21.375,Spring
Adelaide,2012,December,26.71875,Summer
Adelaide,2012,December,26.71875,Summer
Adelaide,2013,January,23.545161290322582,Summer
Adelaide,2013,February,18.836129032258068,Summer
Adelaide,2013,March,23.25967741935484,Autumn
Adelaide,2013,April,18.551666666666666,Autumn
Adelaide,2013,May,16.44516129032258,Autumn
Adelaide,2013,June,12.521666666666667,Winter
Adelaide,2013,July,12.674193548387096,Winter
Adelaide,2013,August,13.162903225806451,Winter
Adelaide,2013,September,17.485,Spring
Adelaide,2013,October,16.816129032258065,Spring
Adelaide,2013,November,19.11,Spring
Adelaide,2013,December,22.043548387096774,Summer
Adelaide,2014,January,25.524193548387096,Summer
Adelaide,2014,February,23.801785714285714,Summer
Adelaide,2014,March,21.274193548387096,Autumn
Adelaide,2014,April,18.163333333333334,Autumn
Adelaide,2014,May,16.420967741935485,Autumn
Adelaide,2014,June,12.838333333333333,Winter
Adelaide,2014,July,11.75,Winter
Adelaide,2014,August,12.087096774193549,Winter
Adelaide,2014,September,15.848333333333333,Spring
Adelaide,2014,October,19.058064516129033,Spring
Adelaide,2014,November,20.636666666666667,Spring
Adelaide,2014,December,21.188709677419354,Summer
Adelaide,2015,January,23.10322580645161,Summer
Adelaide,2015,February,25.373214285714287,Summer
Adelaide,2015,March,20.003225806451614,Autumn
Adelaide,2015,April,15.785,Autumn
Adelaide,2015,May,14.235483870967741,Autumn
Adelaide,2015,June,12.151666666666667,Winter
Adelaide,2015,July,10.708064516129033,Winter
Adelaide,2015,August,11.988709677419354,Winter
Adelaide,2015,September,14.09,Spring
Adelaide,2015,October,20.55483870967742,Spring
Adelaide,2015,November,20.96034482758621,Spring
